Hole,Core,Section,Top (cm)
A,1,4,40
A,1,1,13
A,2,1,40
A,2,4,40
A,3,1,40
A,3,5,40
A,3,CC,20
A,4,4,40
A,5,4,40
A,6,4,40
A,7,4,40
A,8,4,40
A,9,1,40
A,10,1,40
A,11,1,40
A,11,5,40
A,12,2,40
A,12,6,40
A,13,3,40
A,14,4,40
A,14,CC,20
A,15,4,40
A,16,4,40
A,16,CC,20
A,18,1,40
A,18,5,40
A,19,1,40
A,19,5,40
A,20,1,40
A,20,5,40
A,21,2,40
A,21,6,40
A,22,2,40
A,22,6,40
A,23,2,40
A,23,6,40
A,24,2,40
A,24,6,40
A,25,2,40
A,25,6,40
A,26,2,40
A,26,CC,10
A,27,4,40
A,28,3,40
A,29,2,40
A,29,CC,10
A,30,4,40
A,31,1,40
A,31,5,40
A,32,1,40
A,33,3,40
A,34,1,40
A,35,2,8
A,37,1,40
A,38,1,40
