Exp,Site,Hole,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Text ID of section,Text ID of archive half,Text ID of working half,Catwalk samples (no.),Section half samples (no.),Comments
117,730,A,1,H,1,1.5,1.5,0,1.5,0,1.496,SECT10810532,SHLF10810542,SHLF10810552,0,2,(DB) VOID 0-16 CM
117,730,A,1,H,2,1.5,1.5,1.5,3,1.496,2.993,SECT10810562,SHLF10810572,SHLF10810582,0,1,
117,730,A,1,H,3,1.5,1.5,3,4.5,2.993,4.489,SECT10810592,SHLF10810602,SHLF10810612,0,2,
117,730,A,1,H,4,1.5,1.5,4.5,6,4.489,5.986,SECT10810622,SHLF10810632,SHLF10810642,0,1,145-150CM IW
117,730,A,1,H,5,1.5,1.5,6,7.5,5.986,7.482,SECT10810652,SHLF10810662,SHLF10810672,0,2,
117,730,A,1,H,6,0.6,0.6,7.5,8.1,7.482,8.081,SECT10810682,SHLF10810692,SHLF10810702,0,0,
117,730,A,1,H,CC,0.22,0.22,8.1,8.32,8.081,8.3,SECT10810712,SHLF10810722,SHLF10810732,0,1,5CM TO PALEO
117,730,A,2,H,1,1.5,1.5,8.3,9.8,8.3,9.734,SECT10810752,SHLF10810762,SHLF10810772,0,1,
117,730,A,2,H,2,1.5,1.5,9.8,11.3,9.734,11.167,SECT10810782,SHLF10810792,SHLF10810802,0,2,
117,730,A,2,H,3,1.5,1.5,11.3,12.8,11.167,12.601,SECT10810812,SHLF10810822,SHLF10810832,0,1,
117,730,A,2,H,4,1.5,1.5,12.8,14.3,12.601,14.034,SECT10810842,SHLF10810852,SHLF10810862,0,2,
117,730,A,2,H,5,1.5,1.5,14.3,15.8,14.034,15.468,SECT10810872,SHLF10810882,SHLF10810892,0,1,
117,730,A,2,H,6,1.5,1.5,15.8,17.3,15.468,16.901,SECT10810902,SHLF10810912,SHLF10810922,0,2,
117,730,A,2,H,7,0.61,0.61,17.3,17.91,16.901,17.484,SECT10810932,SHLF10810942,SHLF10810952,0,0,
117,730,A,2,H,CC,0.33,0.33,17.91,18.24,17.484,17.8,SECT10810962,SHLF10810972,SHLF10810982,0,1,5CM TO PALEO
117,730,A,3,H,1,1.5,1.5,17.8,19.3,17.8,19.227,SECT10811002,SHLF10811012,SHLF10811022,0,1,
117,730,A,3,H,2,1.5,1.5,19.3,20.8,19.227,20.653,SECT10811032,SHLF10811042,SHLF10811052,0,1,
117,730,A,3,H,3,1.5,1.5,20.8,22.3,20.653,22.079,SECT10811062,SHLF10811072,SHLF10811082,0,2,
117,730,A,3,H,4,1.5,1.5,22.3,23.8,22.079,23.506,SECT10811092,SHLF10811102,SHLF10811112,0,1,OG AT 120-145; IW AT 145-150
117,730,A,3,H,5,1.5,1.5,23.8,25.3,23.506,24.933,SECT10811122,SHLF10811132,SHLF10811142,0,2,
117,730,A,3,H,6,1.22,1.22,25.3,26.52,24.933,26.093,SECT10811152,SHLF10811162,SHLF10811172,0,1,
117,730,A,3,H,7,0.57,0.57,26.52,27.09,26.093,26.635,SECT10811182,SHLF10811192,SHLF10811202,0,0,(DB) VOID 31-40 CM
117,730,A,3,H,8,0.23,0.23,27.09,27.32,26.635,26.854,SECT10811212,SHLF10811222,SHLF10811232,0,1,
117,730,A,3,H,CC,0.47,0.47,27.32,27.79,26.854,27.3,SECT10811242,SHLF10811252,SHLF10811262,0,0,5 CM TO PALEO
117,730,A,4,H,1,1.5,1.5,27.3,28.8,27.3,28.729,SECT10811282,SHLF10811292,SHLF10811302,0,1,
117,730,A,4,H,2,1.5,1.5,28.8,30.3,28.729,30.159,SECT10811312,SHLF10811322,SHLF10811332,0,2,
117,730,A,4,H,3,1.5,1.5,30.3,31.8,30.159,31.588,SECT10811342,SHLF10811352,SHLF10811362,0,1,
117,730,A,4,H,4,1.5,1.5,31.8,33.3,31.588,33.017,SECT10811372,SHLF10811382,SHLF10811392,0,3,
117,730,A,4,H,5,1.5,1.5,33.3,34.8,33.017,34.447,SECT10811402,SHLF10811412,SHLF10811422,0,1,
117,730,A,4,H,6,1.5,1.5,34.8,36.3,34.447,35.876,SECT10811432,SHLF10811442,SHLF10811452,0,2,
117,730,A,4,H,7,0.69,0.69,36.3,36.99,35.876,36.534,SECT10811462,SHLF10811472,SHLF10811482,0,0,
117,730,A,4,H,CC,0.28,0.28,36.99,37.27,36.534,36.8,SECT10811492,SHLF10811502,SHLF10811512,0,1, 5 CM TO PALEO
117,730,A,5,H,1,1.5,1.5,36.8,38.3,36.8,38.215,SECT10811532,SHLF10811542,SHLF10811552,0,1,
117,730,A,5,H,2,1.5,1.5,38.3,39.8,38.215,39.63,SECT10811562,SHLF10811572,SHLF10811582,0,1,
117,730,A,5,H,3,1.5,1.5,39.8,41.3,39.63,41.045,SECT10811592,SHLF10811602,SHLF10811612,0,2,
117,730,A,5,H,4,1.5,1.5,41.3,42.8,41.045,42.46,SECT10811622,SHLF10811632,SHLF10811642,0,1,
117,730,A,5,H,5,1.5,1.5,42.8,44.3,42.46,43.875,SECT10811652,SHLF10811662,SHLF10811672,0,3,
117,730,A,5,H,6,1.5,1.5,44.3,45.8,43.875,45.291,SECT10811682,SHLF10811692,SHLF10811702,0,1,
117,730,A,5,H,7,0.78,0.78,45.8,46.58,45.291,46.026,SECT10811712,SHLF10811722,SHLF10811732,0,1,
117,730,A,5,H,CC,0.29,0.29,46.58,46.87,46.026,46.3,SECT10811742,SHLF10811752,SHLF10811762,0,0,5 CM TO PALEO
117,730,A,6,X,1,1.5,1.5,46.3,47.8,46.3,47.789,SECT10811782,SHLF10811792,SHLF10811802,0,1,
117,730,A,6,X,2,1.5,1.5,47.8,49.3,47.789,49.278,SECT10811812,SHLF10811822,SHLF10811832,0,2,
117,730,A,6,X,3,1.5,1.5,49.3,50.8,49.278,50.767,SECT10811842,SHLF10811852,SHLF10811862,0,1,
117,730,A,6,X,4,1.5,1.5,50.8,52.3,50.767,52.256,SECT10811872,SHLF10811882,SHLF10811892,0,2,OG AT 120-145; IW AT 145-150
117,730,A,6,X,5,1.5,1.5,52.3,53.8,52.256,53.745,SECT10811902,SHLF10811912,SHLF10811922,0,1,
117,730,A,6,X,6,1.5,1.5,53.8,55.3,53.745,55.234,SECT10811932,SHLF10811942,SHLF10811952,0,2,
117,730,A,6,X,7,0.19,0.19,55.3,55.49,55.234,55.423,SECT10811962,SHLF10811972,SHLF10811982,0,0,
117,730,A,6,X,CC,0.33,0.38,55.49,55.87,55.423,55.8,SECT10811992,SHLF10812002,SHLF10812012,0,0,5 CM TO PALEO (DB) CL CHANGED FROM 33 TO 38
117,730,A,7,X,1,1.5,1.5,55.8,57.3,55.8,57.3,SECT10812032,SHLF10812042,SHLF10812052,0,2,
117,730,A,7,X,2,1.5,1.5,57.3,58.8,57.3,58.8,SECT10812062,SHLF10812072,SHLF10812082,0,1,
117,730,A,7,X,3,1.5,1.5,58.8,60.3,58.8,60.3,SECT10812092,SHLF10812102,SHLF10812112,0,3,PP AT 140-150 CM
117,730,A,7,X,4,1.5,1.5,60.3,61.8,60.3,61.8,SECT10812122,SHLF10812132,SHLF10812142,0,1,
117,730,A,7,X,5,1.5,1.5,61.8,63.3,61.8,63.3,SECT10812152,SHLF10812162,SHLF10812172,0,2,
117,730,A,7,X,6,1.5,1.5,63.3,64.8,63.3,64.8,SECT10812182,SHLF10812192,SHLF10812202,0,1,
117,730,A,7,X,7,0.44,0.44,64.8,65.24,64.8,65.24,SECT10812212,SHLF10812222,SHLF10812232,0,1,
117,730,A,7,X,CC,0.09,0.09,65.24,65.33,65.24,65.33,SECT10812242,SHLF10812252,SHLF10812262,0,0,9 CM TO PALEO
117,730,A,8,X,1,1.5,1.5,65.5,67,65.5,67,SECT10812282,SHLF10812292,SHLF10812302,0,1,
117,730,A,8,X,2,1.5,1.5,67,68.5,67,68.5,SECT10812312,SHLF10812322,SHLF10812332,0,2,
117,730,A,8,X,3,1.5,1.5,68.5,70,68.5,70,SECT10812342,SHLF10812352,SHLF10812362,0,1,
117,730,A,8,X,4,1.5,1.5,70,71.5,70,71.5,SECT10812372,SHLF10812382,SHLF10812392,0,2,
117,730,A,8,X,5,1.5,1.5,71.5,73,71.5,73,SECT10812402,SHLF10812412,SHLF10812422,0,1,
117,730,A,8,X,6,1.5,1.5,73,74.5,73,74.5,SECT10812432,SHLF10812442,SHLF10812452,0,2,
117,730,A,8,X,CC,0.41,0.41,74.5,74.91,74.5,74.91,SECT10812462,SHLF10812472,SHLF10812482,0,0,5 CM TO PALEO; (RP) 'STO.IN' FROM 6 TO CC
117,730,A,9,X,1,1.5,1.5,75.2,76.7,75.2,76.674,SECT10812502,SHLF10812512,SHLF10812522,0,3,
117,730,A,9,X,2,1.5,1.5,76.7,78.2,76.674,78.148,SECT10812532,SHLF10812542,SHLF10812552,0,1,
117,730,A,9,X,3,1.5,1.5,78.2,79.7,78.148,79.623,SECT10812562,SHLF10812572,SHLF10812582,0,2,
117,730,A,9,X,4,1.5,1.5,79.7,81.2,79.623,81.097,SECT10812592,SHLF10812602,SHLF10812612,0,1,OG AT 120-145; IW AT 145-150
117,730,A,9,X,5,1.5,1.5,81.2,82.7,81.097,82.571,SECT10812622,SHLF10812632,SHLF10812642,0,3,
117,730,A,9,X,6,1.5,1.5,82.7,84.2,82.571,84.045,SECT10812652,SHLF10812662,SHLF10812672,0,1,
117,730,A,9,X,7,0.45,0.45,84.2,84.65,84.045,84.487,SECT10812682,SHLF10812692,SHLF10812702,0,1,
117,730,A,9,X,CC,0.42,0.42,84.65,85.07,84.487,84.9,SECT10812712,SHLF10812722,SHLF10812732,0,0,5 CM TO PALEO
117,730,A,10,X,1,1.5,1.5,84.9,86.4,84.9,86.4,SECT10812752,SHLF10812762,SHLF10812772,0,3,
117,730,A,10,X,2,1.5,1.5,86.4,87.9,86.4,87.9,SECT10812782,SHLF10812792,SHLF10812802,0,1,
117,730,A,10,X,3,1.5,1.5,87.9,89.4,87.9,89.4,SECT10812812,SHLF10812822,SHLF10812832,0,2,
117,730,A,10,X,4,1.5,1.5,89.4,90.9,89.4,90.9,SECT10812842,SHLF10812852,SHLF10812862,0,1,
117,730,A,10,X,5,1.5,1.5,90.9,92.4,90.9,92.4,SECT10812872,SHLF10812882,SHLF10812892,0,3,
117,730,A,10,X,6,1.5,1.5,92.4,93.9,92.4,93.9,SECT10812902,SHLF10812912,SHLF10812922,0,1,
117,730,A,10,X,7,0.21,0.21,93.9,94.11,93.9,94.11,SECT10812932,SHLF10812942,SHLF10812952,0,0,
117,730,A,10,X,CC,0.23,0.23,94.11,94.34,94.11,94.34,SECT10812962,SHLF10812972,SHLF10812982,0,1,5 CM TO PALEO
117,730,A,11,X,1,1.5,1.5,94.6,96.1,94.6,96.1,SECT10813002,SHLF10813012,SHLF10813022,0,1,
117,730,A,11,X,2,1.5,1.5,96.1,97.6,96.1,97.6,SECT10813032,SHLF10813042,SHLF10813052,0,2,
117,730,A,11,X,3,1.5,1.5,97.6,99.1,97.6,99.1,SECT10813062,SHLF10813072,SHLF10813082,0,1,
117,730,A,11,X,4,1.5,1.5,99.1,100.6,99.1,100.6,SECT10813092,SHLF10813102,SHLF10813112,0,3,
117,730,A,11,X,5,1.5,1.5,100.6,102.1,100.6,102.1,SECT10813122,SHLF10813132,SHLF10813142,0,0,
117,730,A,11,X,6,1.42,1.42,102.1,103.52,102.1,103.52,SECT10813152,SHLF10813162,SHLF10813172,0,0,
117,730,A,11,X,CC,0.42,0.42,103.52,103.94,103.52,103.94,SECT10813182,SHLF10813192,SHLF10813202,0,0,5 CM TO PALEO; (RP) 'STO.IN' FROM 6 TO CC
117,730,A,12,X,1,1.5,1.5,104.2,105.7,104.2,105.7,SECT10813222,SHLF10813232,SHLF10813242,0,0,
117,730,A,12,X,2,1.5,1.5,105.7,107.2,105.7,107.2,SECT10813252,SHLF10813262,SHLF10813272,0,0,
117,730,A,12,X,3,1.5,1.5,107.2,108.7,107.2,108.7,SECT10813282,SHLF10813292,SHLF10813302,0,0,
117,730,A,12,X,4,1.5,1.5,108.7,110.2,108.7,110.2,SECT10813312,SHLF10813322,SHLF10813332,0,0,OG AT 120-145; IW AT 145-150
117,730,A,12,X,5,1.5,1.5,110.2,111.7,110.2,111.7,SECT10813342,SHLF10813352,SHLF10813362,0,0,
117,730,A,12,X,6,1.5,1.5,111.7,113.2,111.7,113.2,SECT10813372,SHLF10813382,SHLF10813392,0,0,
117,730,A,12,X,CC,0.34,0.34,113.2,113.54,113.2,113.54,SECT10813402,SHLF10813412,SHLF10813422,0,0,8 CM TO PALEO
117,730,A,13,X,1,1.5,1.5,113.9,115.4,113.9,115.4,SECT10813442,SHLF10813452,SHLF10813462,0,0,
117,730,A,13,X,2,1.5,1.5,115.4,116.9,115.4,116.9,SECT10813472,SHLF10813482,SHLF10813492,0,0,PP AT 140-150
117,730,A,13,X,3,1.5,1.5,116.9,118.4,116.9,118.4,SECT10813502,SHLF10813512,SHLF10813522,0,0,
117,730,A,13,X,4,1.5,1.5,118.4,119.9,118.4,119.9,SECT10813532,SHLF10813542,SHLF10813552,0,1,
117,730,A,13,X,5,1.5,1.5,119.9,121.4,119.9,121.4,SECT10813562,SHLF10813572,SHLF10813582,0,0,
117,730,A,13,X,6,0.19,0.19,121.4,121.59,121.4,121.59,SECT10813592,SHLF10813602,SHLF10813612,0,0,
117,730,A,13,X,CC,0.34,0.34,121.59,121.93,121.59,121.93,SECT10813622,SHLF10813632,SHLF10813642,0,0,5 CM TO PALEO
117,730,A,14,X,1,1.5,1.5,123.5,125,123.5,124.986,SECT10813662,SHLF10813672,SHLF10813682,0,0,
117,730,A,14,X,2,1.5,1.5,125,126.5,124.986,126.472,SECT10813692,SHLF10813702,SHLF10813712,0,0,
117,730,A,14,X,3,1.5,1.5,126.5,128,126.472,127.959,SECT10813722,SHLF10813732,SHLF10813742,0,0,
117,730,A,14,X,4,1.5,1.5,128,129.5,127.959,129.445,SECT10813752,SHLF10813762,SHLF10813772,0,0,
117,730,A,14,X,5,1.5,1.5,129.5,131,129.445,130.931,SECT10813782,SHLF10813792,SHLF10813802,0,0,
117,730,A,14,X,6,1.5,1.5,131,132.5,130.931,132.417,SECT10813812,SHLF10813822,SHLF10813832,0,0,
117,730,A,14,X,7,0.38,0.38,132.5,132.88,132.417,132.794,SECT10813842,SHLF10813852,SHLF10813862,0,0,
117,730,A,14,X,CC,0.41,0.41,132.88,133.29,132.794,133.2,SECT10813872,SHLF10813882,SHLF10813892,0,0,5 CM TO PALEO
117,730,A,15,X,1,1.5,1.5,133.2,134.7,133.2,134.7,SECT10813912,SHLF10813922,SHLF10813932,0,0,
117,730,A,15,X,2,1.5,1.5,134.7,136.2,134.7,136.2,SECT10813942,SHLF10813952,SHLF10813962,0,0,
117,730,A,15,X,3,1.5,1.5,136.2,137.7,136.2,137.7,SECT10813972,SHLF10813982,SHLF10813992,0,0,
117,730,A,15,X,4,1.5,1.5,137.7,139.2,137.7,139.2,SECT10814002,SHLF10814012,SHLF10814022,0,1,OG AT 120-145; IW AT 145-150
117,730,A,15,X,5,1.5,1.5,139.2,140.7,139.2,140.7,SECT10814032,SHLF10814042,SHLF10814052,0,0,
117,730,A,15,X,6,1.5,1.5,140.7,142.2,140.7,142.2,SECT10814062,SHLF10814072,SHLF10814082,0,0,
